# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.0 Build 178 05/31/2012 SJ Full Version
# File: C:\Users\rmacdona\Desktop\trtr.csv
# Generated on: Fri Oct 26 18:00:26 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
HS,Output,PIN_G13,8,B8_N0,PIN_G13,,,,,
LEDG[8],Output,,,,PIN_U5,,,,,
LEDG[7],Output,,,,PIN_J10,,,,,
LEDG[6],Output,,,,PIN_J25,,,,,
LEDG[5],Output,,,,PIN_G5,,,,,
LEDG[4],Output,,,,PIN_R1,,,,,
LEDG[3],Output,,,,PIN_D4,,,,,
LEDG[2],Output,,,,PIN_E8,,,,,
LEDG[1],Output,,,,PIN_C4,,,,,
LEDG[0],Output,,,,PIN_AB13,,,,,
LEDR[17],Output,,,,PIN_H16,,,,,
LEDR[16],Output,,,,PIN_AD14,,,,,
LEDR[15],Output,,,,PIN_H15,,,,,
LEDR[14],Output,,,,PIN_W21,,,,,
LEDR[13],Output,,,,PIN_AE22,,,,,
LEDR[12],Output,,,,PIN_B4,,,,,
LEDR[11],Output,,,,PIN_AG18,,,,,
LEDR[10],Output,PIN_J15,7,B7_N2,PIN_J15,,,,,
LEDR[9],Output,PIN_G17,7,B7_N1,PIN_G17,,,,,
LEDR[8],Output,PIN_J17,7,B7_N2,PIN_J17,,,,,
LEDR[7],Output,PIN_H19,7,B7_N2,PIN_H19,,,,,
LEDR[6],Output,PIN_J19,7,B7_N2,PIN_J19,,,,,
LEDR[5],Output,PIN_E18,7,B7_N1,PIN_E18,,,,,
LEDR[4],Output,PIN_F18,7,B7_N1,PIN_F18,,,,,
LEDR[3],Output,PIN_F21,7,B7_N0,PIN_F21,,,,,
LEDR[2],Output,PIN_E19,7,B7_N0,PIN_E19,,,,,
LEDR[1],Output,PIN_F19,7,B7_N0,PIN_F19,,,,,
LEDR[0],Output,PIN_G19,7,B7_N2,PIN_G19,,,,,
PS2_CLK,Bidir,PIN_G6,1,B1_N0,PIN_G6,,,,,
PS2_DAT,Bidir,PIN_H5,1,B1_N1,PIN_H5,,,,,
VGA_RGB[23],Output,PIN_H10,8,B8_N1,PIN_H10,,,,,
VGA_RGB[22],Output,PIN_H8,8,B8_N2,PIN_H8,,,,,
VGA_RGB[21],Output,PIN_J12,8,B8_N0,PIN_J12,,,,,
VGA_RGB[20],Output,PIN_G10,8,B8_N1,PIN_G10,,,,,
VGA_RGB[19],Output,PIN_F12,8,B8_N1,PIN_F12,,,,,
VGA_RGB[18],Output,PIN_D10,8,B8_N1,PIN_D10,,,,,
VGA_RGB[17],Output,PIN_E11,8,B8_N1,PIN_E11,,,,,
VGA_RGB[16],Output,PIN_E12,8,B8_N1,PIN_E12,,,,,
VGA_RGB[15],Output,PIN_C9,8,B8_N1,PIN_C9,,,,,
VGA_RGB[14],Output,PIN_F10,8,B8_N1,PIN_F10,,,,,
VGA_RGB[13],Output,PIN_B8,8,B8_N1,PIN_B8,,,,,
VGA_RGB[12],Output,PIN_C8,8,B8_N1,PIN_C8,,,,,
VGA_RGB[11],Output,PIN_H12,8,B8_N1,PIN_H12,,,,,
VGA_RGB[10],Output,PIN_F8,8,B8_N2,PIN_F8,,,,,
VGA_RGB[9],Output,PIN_G11,8,B8_N1,PIN_G11,,,,,
VGA_RGB[8],Output,PIN_G8,8,B8_N2,PIN_G8,,,,,
VGA_RGB[7],Output,PIN_D12,8,B8_N0,PIN_D12,,,,,
VGA_RGB[6],Output,PIN_D11,8,B8_N1,PIN_D11,,,,,
VGA_RGB[5],Output,PIN_C12,8,B8_N0,PIN_C12,,,,,
VGA_RGB[4],Output,PIN_A11,8,B8_N0,PIN_A11,,,,,
VGA_RGB[3],Output,PIN_B11,8,B8_N0,PIN_B11,,,,,
VGA_RGB[2],Output,PIN_C11,8,B8_N1,PIN_C11,,,,,
VGA_RGB[1],Output,PIN_A10,8,B8_N0,PIN_A10,,,,,
VGA_RGB[0],Output,PIN_B10,8,B8_N0,PIN_B10,,,,,
